"query.text","query.parsed.housenumber","query.parsed.street","query.parsed.postcode","query.parsed.city","query.parsed.state","query.parsed.expected_type","datasource.sourcename","datasource.attribution","datasource.license","datasource.url","country","country_code","state","county","city","hamlet","postcode","street","housenumber","lon","lat","state_code","district","result_type","formatted","address_line1","address_line2","category","timezone.name","timezone.offset_STD","timezone.offset_STD_seconds","timezone.offset_DST","timezone.offset_DST_seconds","timezone.abbreviation_STD","timezone.abbreviation_DST","plus_code","plus_code_short","rank.importance","rank.popularity","rank.confidence","rank.confidence_city_level","rank.confidence_street_level","rank.match_type","place_id","distance","name","suburb","municipality","village","query.parsed.unit","ref","query.parsed.country","quarter","query.parsed.county"
"1709 S. State ST, Big Rapids, MI 49307","1709","s. state st","49307","big rapids","mi","building","mixed","","","","United States","us","Michigan","Mecosta County","Big Rapids","","49307","South State Street","1709","-85.4834791","43.6825319","MI","Big Rapids","building","1709 South State Street, Big Rapids, MI 49307, United States of America","1709 South State Street","Big Rapids, MI 49307, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86MPMGM8+2J","MGM8+2J Big Rapids, Mecosta County, United States","","1.3564473861113262","1","1","1","full_match","512bb35252f15e55c059067d8e345dd74540c00203e2031f6d697865643a616464726573733a706f6c796c696e653a3331383031353634","","","","","","","","","",""
"5508 South Cedar ST, Lansing, MI 48911","5508","south cedar st","48911","lansing","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Ingham County","Lansing","","48911","South Cedar Street","5508","-84.54801706064379","42.677509108416956","MI","Kaynorth","building","5508 South Cedar Street, Lansing, MI 48911, United States of America","5508 South Cedar Street","Lansing, MI 48911, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JQMFH2+2Q","MFH2+2Q, 48911 Lansing, United States","-0.74","2.21546100045","1","1","1","full_match","515e4726b6122355c0594cb2539eb8564540f00102f9019df6853400000000c00203","","","","","","","","","",""
"29600 Stephenson HWY, Madison Heights, MI 48071","29600","stephenson hwy","48071","madison heights","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Oakland County","Madison Heights","","48071","Stephenson Highway","29600","-83.11871006135688","42.5100211752208","MI","","building","29600 Stephenson Highway, Madison Heights, MI 48071, United States of America","29600 Stephenson Highway","Madison Heights, MI 48071, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JRGV6J+2G","GV6J+2G, 48071 Madison Heights, United States","-0.8399999999999999","5.114273017558477","1","1","1","full_match","51f9ce15f298c754c059a0ebb55f48414540f00102f901a2e65c0200000000c00203","","","","","","","","","",""
"2540 Rosa Parks BLVD, Detroit, MI 48216","2540","rosa parks blvd","48216","detroit","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Wayne County","Detroit","","48216","Rosa Parks Boulevard","2540","-83.07344297959183","42.3340993877551","MI","North Corktown","building","2540 Rosa Parks Boulevard, Detroit, MI 48216, United States of America","2540 Rosa Parks Boulevard","Detroit, MI 48216, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JR8WMG+JJ","8WMG+JJ Detroit, Wayne County, United States","-0.8399999999999999","5.630723161824099","1","1","1","full_match","51efdd2e4ab3c454c059ca02ccc4c32a4540f00102f9014cd35e3d00000000c00203","","","","","","","","","",""
"6191 W. WARREN AVE, DETROIT, MI 48210","6191","w. warren ave","48210","detroit","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Wayne County","Detroit","","48210","West Warren Avenue","6191","-83.12847659503065","42.34444579681638","MI","","building","6191 West Warren Avenue, Detroit, MI 48210, United States of America","6191 West Warren Avenue","Detroit, MI 48210, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JR8VVC+QJ","8VVC+QJ Detroit, Wayne County, United States","-0.74","4.450590124027015","1","1","1","full_match","51517de5f538c854c0591749c4cc162c4540f00102f9019ea66c1a00000000c00203","","","","","","","","","",""
"4184 Pier N. BLVD, Suite A, Flint, MI 48504","4184","pier blvd","48504","flint","mi","building","openaddresses","© OpenAddresses contributors","BSD-3-Clause License","","United States","us","Michigan","Genesee County","Mount Morris","","48504","Pier North Boulevard","4180","-83.764111","43.066654","MI","Mount Morris Township","building","4180 Pier North Boulevard, Mount Morris, MI 48504, United States of America","4180 Pier North Boulevard","Mount Morris, MI 48504, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86MR368P+M9","368P+M9, 48504 Mount Morris, United States","","2.0880225701027717","0.7","1","1","full_match","51e3e0d231e7f054c059e412471e88884540c00203e203496f70656e6164647265737365733a616464726573733a75732f6d692f67656e657365652d6164647265737365732d636f756e74792e6373763a65636663393464336262663237626133","","","","","","suite a","","","",""
"3055 E Bristol RD, Burton, MI 48529","3055","e bristol rd","48529","burton","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Genesee County","Burton","","48529","East Bristol Road","3055","-83.65109752054795","42.974829657534244","MI","","building","3055 East Bristol Road, Burton, MI 48529, United States of America","3055 East Bristol Road","Burton, MI 48529, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JRX8FX+WH","X8FX+WH, 48529 Burton, United States","-0.74","2.2372007947537997","1","1","1","full_match","51a650ef94abe954c059e623dd37c77c4540f00102f90179b1871c00000000c00203","","","","","","","","","",""
"704 S Garfield Ave, Traverse City, MI 49686","704","s garfield ave","49686","traverse city","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Grand Traverse County","Traverse City","","49686","South Garfield Avenue","704","-85.59541748484848","44.75486257575758","MI","","building","704 South Garfield Avenue, Traverse City, MI 49686, United States of America","704 South Garfield Avenue","Traverse City, MI 49686, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86PPQC33+WR","QC33+WR Traverse City, Grand Traverse County, United States","-0.74","1.5517765299517337","1","1","1","full_match","510339f0511b6655c05933ed3d569f604640f00102f901e957e71d00000000c00203","","","","","","","","","",""
"704 S. Garfield AVE, Traverse City, MI 49686","704","s. garfield ave","49686","traverse city","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Grand Traverse County","Traverse City","","49686","South Garfield Avenue","704","-85.59541748484848","44.75486257575758","MI","","building","704 South Garfield Avenue, Traverse City, MI 49686, United States of America","704 South Garfield Avenue","Traverse City, MI 49686, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86PPQC33+WR","QC33+WR Traverse City, Grand Traverse County, United States","-0.74","1.5517765299517337","1","1","1","full_match","510339f0511b6655c05933ed3d569f604640f00102f901e957e71d00000000c00203","","","","","","","","","",""
"2625 Hilton RD, Suite 100, Ferndale, MI 48220","2625","hilton rd","48220","ferndale","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Oakland County","Ferndale","","48220","Hilton Road","2625","-83.12357346938775","42.47001489795918","MI","","building","2625 Hilton Road, Ferndale, MI 48220, United States of America","2625 Hilton Road","Ferndale, MI 48220, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JRFVCG+2H","CG+2H, 48220 Ferndale, United States","-0.8399999999999999","5.055997192249421","1","1","1","full_match","511d6bb2a0e8c754c05909afbb72293c4540f00102f9013a7f451b00000000c00203","","","","","","suite 100","","","",""
"37655 Ford RD, Westland, MI 48185","37655","ford rd","48185","westland","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Wayne County","Westland","","48185","Ford Road","37655","-83.41222562351125","42.32383609738332","MI","","building","37655 Ford Road, Westland, MI 48185, United States of America","37655 Ford Road","Westland, MI 48185, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JR8HFQ+G4","FQ+G4 Westland, Wayne County, United States","-0.8399999999999999","3.6599386351105467","1","1","1","full_match","5175e394e761da54c05948c3137673294540f00102f901a21ea70200000000c00203","","","","","","","","","",""
"123 E. State ST, Cheboygan, MI 49721","123","e. state st","49721","cheboygan","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Cheboygan County","Cheboygan","","49721","East State Street","123","-84.47200447959183","45.645535030612244","MI","","building","123 East State Street, Cheboygan, MI 49721, United States of America","123 East State Street","Cheboygan, MI 49721, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86QQJGWH+65","WH+65 Cheboygan, Cheboygan County, United States","-0.74","1.116386279453239","1","1","1","full_match","5165da4652351e55c059737352e4a0d24640f00102f901525eaa4200000000c00203","","","","","","","","","",""
"759 W. Spruce ST, Sault Ste. Marie, MI 49783","759","w. spruce st","49783","sault ste. marie","mi","building","mixed","","","","United States","us","Michigan","Chippewa County","Sault Ste. Marie","","49783","Spruce Street West","759","-84.362811","46.498792","MI","Sault Ste. Marie","building","759 Spruce Street West, Sault Ste. Marie, MI 49783, United States of America","759 Spruce Street West","Sault Ste. Marie, MI 49783, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86RQFJXP+GV","FJXP+GV Sault Ste. Marie, Chippewa County, United States","","2.8426579108105576","1","1","1","full_match","5142e8a04b381755c059d3c08f6ad83f4740c00203e2031e6d697865643a616464726573733a706f6c796c696e653a38363331313534","","","","","","","","","",""
"120 W Grand River RD, Suite B, Laingsburg, MI 48848","120","w grand river rd","48848","laingsburg","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Shiawassee County","Laingsburg","","48848","West Grand River Road","120","-84.35270920119386","42.89105960624149","MI","","building","120 West Grand River Road, Laingsburg, MI 48848, United States of America","120 West Grand River Road","Laingsburg, MI 48848, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JQVJRW+CW","RW+CW Laingsburg, Shiawassee County, United States","-0.6399999999999999","1.8773400297804337","1","1","1","full_match","510f089dc9921655c05903ccbd3d0e724540f00102f901bd48120100000000c00203","","","","","","suite b","","","",""
"9030 N Saginaw, Suite 4, Mount Morris, MI 48458","9030","n saginaw","48458","mount morris","mi","building","openaddresses","© OpenAddresses contributors","BSD-3-Clause License","","United States","us","Michigan","Genesee County","Mount Morris","","48458","North Saginaw Road","9030","-83.693504","43.135348","MI","Thetford Township","building","9030 North Saginaw Road, Mount Morris, MI 48458, United States of America","9030 North Saginaw Road","Mount Morris, MI 48458, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86MR48P4+4H","48P4+4H, 48458 Mount Morris, United States","","1.6423174900920325","0.7","1","0.7","full_match","514be9995e62ec54c0591dca501553914540c00203e203496f70656e6164647265737365733a616464726573733a75732f6d692f67656e657365652d6164647265737365732d636f756e74792e6373763a64636639373033326461363336623166","","","","","","suite 4","","","",""
"1125 E. Michigan AVE, Suite 9, Battle Creek, MI 49014","1125","e. michigan ave","49014","battle creek","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Calhoun County","Brownlee Park","","49014","East Michigan Avenue","1125","-85.12878398015161","42.310556071390465","MI","","building","1125 East Michigan Avenue, Brownlee Park, MI 49014, United States of America","1125 East Michigan Avenue","Brownlee Park, MI 49014, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JP8V6C+6F","6C+6F Brownlee Park, Calhoun County, United States","-0.74","1.8605423809159454","1","1","1","full_match","51febf29ff3d4855c0592019254dc0274540f00102f901692b900800000000c00203","","","","Emmett Charter Township","","suite 9","","","",""
"102 S. Main ST, Crystal, MI 48818","102","s. main st","48818","crystal","mi","building","mixed","","","","United States","us","Michigan","Montcalm County","Crystal","","48818","South Main Street","102","-84.914886","43.2631436","MI","Crystal Township","building","102 South Main Street, Crystal, MI 48818, United States of America","102 South Main Street","Crystal, MI 48818, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86MQ737P+72","","","1.3903512364759532","1","1","1","full_match","515e64027e8d3a55c0596b1382b0aea14540c00203e2031f6d697865643a616464726573733a706f6c796c696e653a3238393438373433","","","","","","","","","",""
"1446 HOLTON RD, Muskegon, MI 49445","1446","holton rd","49445","muskegon","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Muskegon County","Muskegon Charter Township","","49445","Holton Road","1446","-86.2322561991769","43.27870545225986","MI","","building","1446 Holton Road, Muskegon Charter Township, MI 49445, United States of America","1446 Holton Road","Muskegon Charter Township, MI 49445, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86MM7QH9+F3","","-0.8399999999999999","1.489977259276888","1","1","1","full_match","5184f01a49dd8e55c0592456c99eaca34540f00102f90140c4650800000000c00203","","","","","","","","","",""
"120 S. Michigan AVE, Suite B, Big Rapids, MI 49307","120","s. michigan ave","49307","big rapids","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Mecosta County","Big Rapids","","49307","South Michigan Avenue","120","-85.4821041632653","43.698025102040816","MI","","building","120 South Michigan Avenue, Big Rapids, MI 49307, United States of America","120 South Michigan Avenue","Big Rapids, MI 49307, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86MPMGX9+65","X9+65 Big Rapids, Mecosta County, United States","-0.74","1.3600224007269948","1","1","1","full_match","515b9f6bcbda5e55c059b486f4e258d94540f00102f90113e0100100000000c00203","","","","","","suite b","","","",""
"8975 S M37 HWY, Dowling, MI 49050","8975","s m37 hwy","49050","dowling","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Barry County","Baltimore Township","Dowling","49050","","","-85.2530589","42.5225362","MI","","postcode","Dowling (Baltimore Township), MI 49050, United States of America","Dowling (Baltimore Township), MI 49050","United States of America","populated_place","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JPGPFW+2Q","","0.46001","1.7005024855154354","0.25","1","","match_by_postcode","518dddf41d325055c059f1fc5877e2424540f00103f9015ff62a0900000000c00207920307446f776c696e67","0","Dowling","","","","","","","",""
"600 West 7th Street, Evart, MI 49631","600","west 7th street","49631","evart","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Osceola County","Evart","","49631","West 7th Street","600","-85.266277","43.900691","MI","","building","600 West 7th Street, Evart, MI 49631, United States of America","600 West 7th Street","Evart, MI 49631, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86MPWP2M+7F","2M+7F Evart, Osceola County, United States","-0.74","1.294221183136447","1","1","1","full_match","5154abafae0a5155c0599966bad749f34540f00102f901ce0ec03900000000c00203","","","","","","","","","",""
"9899 Honor Highway, Honor, MI 49640","9899","honor highway","49640","honor","mi","building","openaddresses","© OpenAddresses contributors","BSD-3-Clause License","","United States","us","Michigan","Benzie County","Honor","","49640","Honor Highway","9899","-86.041047","44.667458","MI","Benzonia Township","building","9899 Honor Highway, Honor, MI 49640, United States of America","9899 Honor Highway","Honor, MI 49640, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86PMMX85+XH","","","1.1803684094094138","1","1","1","full_match","5155a69883a08255c0590fba84436f554640c00203e203486f70656e6164647265737365733a616464726573733a75732f6d692f62656e7a69652d6164647265737365732d636f756e74792e6373763a33396363376631363066336464366562","","","","","","","","","",""
"116 N. Washington ST, Owosso, MI 48867","116","n. washington st","48867","owosso","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Shiawassee County","Owosso","","48867","North Washington Street","116","-84.17052655102042","42.997768959183674","MI","","building","116 North Washington Street, Owosso, MI 48867, United States of America","116 North Washington Street","Owosso, MI 48867, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JQXRXH+4Q","XH+4Q Owosso, Shiawassee County, United States","-0.74","1.8816849938297606","1","1","1","full_match","51dfee31e8e90a55c0593454ace4b67f4540f00102f9013a45120100000000c00203","","","","Owosso Charter Township","","","","","",""
"113 S. Michigan AVE, Big Rapids, MI 49307","113","s. michigan ave","49307","big rapids","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Mecosta County","Big Rapids","","49307","South Michigan Avenue","113","-85.48188189795918","43.69812106122449","MI","","building","113 South Michigan Avenue, Big Rapids, MI 49307, United States of America","113 South Michigan Avenue","Big Rapids, MI 49307, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86MPMGX9+66","X9+66 Big Rapids, Mecosta County, United States","-0.74","1.3600224007269948","1","1","1","full_match","5139112c27d75e55c059d34deb075cd94540f00102f90113e0100100000000c00203","","","","","","","","","",""
"861 N. Pontiac TRL, Walled Lake, MI 48390","861","n. pontiac trl","48390","walled lake","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Oakland County","Walled Lake","","48390","North Pontiac Trail","861","-83.48050119999999","42.53896785","MI","","building","861 North Pontiac Trail, Walled Lake, MI 48390, United States of America","861 North Pontiac Trail","Walled Lake, MI 48390, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JRGGQ9+HQ","Q9+HQ Walled Lake, Oakland County, United States","-0.8399999999999999","3.4261933841374126","1","1","1","full_match","5114ec1a88c0de54c05937ac04e6fc444540f00102f9010aab840000000000c00203","","","","","","","","","",""
"250 US Hwy 41 East, Negaunee, MI 49866","250","us hwy 41 east","49866","negaunee","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Marquette County","Negaunee Township","","49866","US 41;M 28","270","-87.53206834469285","46.53332545","MI","Negaunee Township","building","Marquette Seventh-Day Adventist Church, 270 US 41;M 28, Negaunee Township, MI 49866, United States of America","Marquette Seventh-Day Adventist Church","270 US 41;M 28, Negaunee Township, MI 49866, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86RJGFM9+85","","0.00000999999999995449","1.0488154291725587","0.5","1","1","full_match","5154ec62680de255c059efef220244444740f00102f9015131771400000000c002039203264d617271756574746520536576656e74682d44617920416476656e7469737420436875726368e203236f70656e7374726565746d61703a616464726573733a7761792f333433333535373239","","Marquette Seventh-Day Adventist Church","","","","","","","",""
"738 South Main ST, Adrian, MI 49221","738","south main st","49221","adrian","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Lenawee County","Adrian","","49221","South Main Street","738","-84.04338278439482","41.88878692264789","MI","","building","738 South Main Street, Adrian, MI 49221, United States of America","738 South Main Street","Adrian, MI 49221, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86HQVXQ4+GJ","Q4+GJ, 49221 Adrian, United States","-0.74","2.085777784467503","1","1","1","full_match","51da0b96c8c60255c0594df116c5c3f14440f00102f9019462720200000000c00203","","","","","","","","","",""
"3406 Stadium DR, Kalamazoo, MI 49008","3406","stadium dr","49008","kalamazoo","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Kalamazoo County","Kalamazoo","","49009","Stadium Drive","3406","-85.63178209257676","42.27171147065374","MI","","building","3406 Stadium Drive, Kalamazoo, MI 49009, United States of America","3406 Stadium Drive","Kalamazoo, MI 49009, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JP79C9+M7","79C9+M7 Kalamazoo, Kalamazoo County, United States","-0.8399999999999999","2.8872789093338405","1","1","1","full_match","513374281e6f6855c059f4330471c7224540f00102f901da8b161800000000c00203","","","","","","","","","",""
"1345 US Hwy 31 North, Petoskey, MI 49770","1345","us hwy 31 north","49770","petoskey","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Emmet County","Petoskey","","","","","-84.95533","45.373343","MI","","city","Petoskey, MI, United States of America","Petoskey, MI","United States of America","administrative","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86QQ92FV+8V","+8V Petoskey, Emmet County, United States","0.5345693975728699","1.3178479773923515","0.25","1","","match_by_city_or_disrict","51d0b87020243d55c059639813b4c9af4640f00101f9015a0f020000000000c00208","0","","","","","","","","",""
"1020 S Nicolet ST, Mackinaw City, MI 49701","1020","s nicolet st","49701","mackinaw city","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Cheboygan County","Mackinaw City","","49701","South Nicolet Street","1020","-84.73197725510204","45.76836878571429","MI","","building","1020 South Nicolet Street, Mackinaw City, MI 49701, United States of America","1020 South Nicolet Street","Mackinaw City, MI 49701, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86QQQ799+86","","-0.74","1.2465842186323148","1","1","1","full_match","51100521b7d82e55c0597ef48ae859e24640f00102f9015070610200000000c00203","","","","Mackinaw Township","","","","","",""
"15205 Tandem CT, Petersburg, MI 49270","15205","tandem ct","49270","petersburg","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Monroe County","Petersburg","","","","","-83.7149383","41.9011578","MI","","city","Petersburg, MI, United States of America","Petersburg, MI","United States of America","administrative","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86HRW72P+F2","+F2 Petersburg, Monroe County, United States","0.4744381529140952","2.015201287114304","0.25","1","","match_by_city_or_disrict","511a4a928cc1ed54c05985c4872359f34440f00101f901f80e020000000000c00208","0","","","","","","","","",""
"1425 W Main ST, Lowell, MI 49331","1425","w main st","49331","lowell","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Kent County","Lowell","","49331","West Main Street","","-85.3685727","42.9309865","MI","","street","West Main Street, Lowell, MI 49331, United States of America","West Main Street","Lowell, MI 49331, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JPWJJJ+9H","WJJJ+9H, 49331 Lowell, United States","0.6100099999999999","1.832420482865006","0.5","1","1","match_by_street","51b32cf3b1965755c0593e42cd902a774540f00102f901864a100100000000c0020492031057657374204d61696e20537472656574","","West Main Street","","","","","M 21","","",""
"1512 N. West AVE, Jackson, MI 49202","1512","n. west ave","49202","jackson","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Jackson County","Jackson","","49202","North West Avenue","1512","-84.423479","42.266258","MI","","building","1512 North West Avenue, Jackson, MI 49202, United States of America","1512 North West Avenue","Jackson, MI 49202, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86JQ7H8G+GJ","7H8G+GJ, 49202 Jackson, United States","-0.74","1.9618757297317142","1","1","1","full_match","51bde2a9471a1b55c0593126fdbd14224540f00102f901988a5a3500000000c00203","","","","Blackman Charter Township","","","","","",""
"246 West 3 Mile RD, Sault Ste. Marie, MI 49783","246","west 3 mile rd","49783","sault ste. marie","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Chippewa County","Sault Ste. Marie","","49783","West 3 Mile Road","246","-84.36166486794693","46.46290337245954","MI","","building","246 West 3 Mile Road, Sault Ste. Marie, MI 49783, United States of America","246 West 3 Mile Road","Sault Ste. Marie, MI 49783, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86RQFJ7Q+58","FJ7Q+58 Sault Ste. Marie, Chippewa County, United States","-0.6399999999999999","1.6754683676090045","1","1","1","full_match","516efc6684251755c059fff5ee6a403b4740f00102f9010a1b0f0100000000c00203","","","","","","","","","",""
"3405 Spruce ST, Escanaba, MI 49829","3405","spruce st","49829","escanaba","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Delta County","Escanaba","","49829","Spruce Street","3405","-87.0958285492352","45.7301939","MI","","building","3405 Spruce Street, Escanaba, MI 49829, United States of America","3405 Spruce Street","Escanaba, MI 49829, United States of America","building.commercial","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86QJPWJ3+3M","PWJ3+3M Escanaba, Delta County, United States","0.31001","1.0740416286971215","1","1","1","full_match","51403f110e22c655c0598e1e64fe76dd4640f00102f90130f93d0f00000000c00203","","","","","","","","","",""
"910 Razorback DR, Houghton, MI 49931","910","razorback dr","49931","houghton","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Houghton County","Houghton","","49931","Razorback Drive","910","-88.5863837","47.1097334","MI","","amenity","Lume Cannabis Co., 910 Razorback Drive, Houghton, MI 49931, United States of America","Lume Cannabis Co.","910 Razorback Drive, Houghton, MI 49931, United States of America","commercial.smoking","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86VH4C57+VC","4C57+VC, 49931 Houghton, United States","0.31001","1.0324934768890017","1","1","1","inner_part","51149a7f4f872556c059b3237abe0b8e4740f00103f901981a784a02000000c002019203114c756d652043616e6e6162697320436f2e","","Lume Cannabis Co.","","","","","","","",""
"16 N. Main St. NE, Cedar Springs, MI 49319","16","n. main st. ne","49319","cedar springs","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Kent County","Cedar Springs","","49319","North Main Street Northeast","16","-85.5510695","43.22390075","MI","","building","16 North Main Street Northeast, Cedar Springs, MI 49319, United States of America","16 North Main Street Northeast","Cedar Springs, MI 49319, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86MP6CFX+HH","+HH Cedar Springs, Kent County, United States","-0.74","1.480052390043402","1","1","1","full_match","51ad1402b9446355c05962669fc7a89c4540f00102f901c983ee3500000000c00203","","","","","","","","","",""
"351 S Willowbrook RD, Coldwater, MI 49036","351","s willowbrook rd","49036","coldwater","mi","building","openstreetmap","© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright","United States","us","Michigan","Branch County","Coldwater","","49036","South Willowbrook Road","351","-84.97130098516604","41.933360407866346","MI","","building","351 South Willowbrook Road, Coldwater, MI 49036, United States of America","351 South Willowbrook Road","Coldwater, MI 49036, United States of America","","America/Detroit","-05:00","-18000","-04:00","-14400","EST","EDT","86HQW2MH+8F","W2MH+8F, 49036 Coldwater, United States","-0.74","1.7728590324169893","1","1","1","full_match","5116779bcb293e55c0596695955a78f74440f00102f901419a0e0100000000c00203","","","","Coldwater Township","","","","","",""
